
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 18 - 24 สิงหาคม 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พ. 18 ส.ค.,พฤ. 19 ส.ค.,ศ. 20 ส.ค.,ส. 21 ส.ค.,อา. 22 ส.ค.,จ. 23 ส.ค.,อ. 24 ส.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.66,34.58,34.42,34.32,34.31,34.27,34.23,34.40,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.51,,
,,,,,2990.00,100.00,87.00,66.00,54.00,53.00,49.00,45.00,64.86,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,19.04,19.17,19.19,19.33,19.59,19.66,19.57,19.36,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,11.65,,
,,,,,1579.00,138.00,148.00,149.00,161.00,186.00,193.00,184.00,165.57,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.18,17.46,17.44,17.31,17.36,17.41,17.37,17.36,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,5.79,,
,,,,,3590.00,182.00,225.00,221.00,197.00,206.00,215.00,208.00,207.71,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,13.58,13.77,14.02,14.12,14.11,14.14,14.19,13.99,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.11,,
,,,,,16.34,5.31,5.44,5.31,5.31,5.31,5.31,5.31,5.33,,,,
,,,,,2840.00,60.00,70.00,60.00,60.00,60.00,60.00,60.00,61.43,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.64,1.70,1.70,1.58,1.60,1.62,1.55,1.63,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.97,1.00,0.96,0.97,0.88,0.80,0.68,0.89,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.79,0.85,0.83,0.92,0.81,0.60,0.51,0.76,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.47,0.50,0.46,0.49,0.36,0.22,0.15,0.38,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.54,0.54,0.47,0.51,0.37,0.27,0.16,0.41,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.57,0.64,0.63,0.83,0.68,0.49,0.39,0.60,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,6.40,,
,,,,,3500.00,927.00,769.00,640.00,334.00,126.00,537.00,224.00,508.14,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,66.00,64.00,62.00,61.00,60.00,61.00,60.00,62.00,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,102.35,102.35,102.35,101.35,101.35,101.45,101.45,101.81,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,103.90,103.88,103.87,103.90,103.90,103.96,103.93,103.91,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,234.00,*,*,*,*,*,*,*,,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.24,68.17,68.24,68.24,68.24,68.24,68.28,68.24,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,168.00,*,*,*,*,*,*,*,,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.60,122.60,122.60,122.67,122.75,122.68,122.64,122.65,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.09,17.09,17.09,17.09,17.09,17.09,17.09,17.09,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,13.63,13.79,13.99,14.09,14.15,14.09,14.10,13.98,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,980.00,***,***,***,***,***,***,***,,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,17.58,17.38,17.38,17.38,17.37,16.66,16.66,17.20,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.62,,
,,,,,1300.00,25.00,20.00,20.00,20.00,20.00,8.00,8.00,17.29,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.94,8.93,8.95,8.95,8.89,8.72,8.75,8.88,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.75,,
,,,,,1740.00,21.00,20.00,21.00,21.00,19.00,12.00,13.00,18.14,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,5.97,5.98,5.93,5.85,5.79,5.72,5.69,5.85,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,0.73,0.71,0.59,0.76,0.75,0.65,0.39,0.65,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.83,0.88,0.87,0.99,0.81,0.66,0.55,0.80,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
