
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 18 - 24 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),ส. 18 ก.ย.,อา. 19 ก.ย.,จ. 20 ก.ย.,อ. 21 ก.ย.,พ. 22 ก.ย.,พฤ. 23 ก.ย.,ศ. 24 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,36.42,36.77,36.96,36.85,36.60,37.11,37.46,36.88,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.42,,
,,,,,2990.00,622.00,726.00,790.00,752.00,673.00,882.00,1059.00,786.29,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,24.87,25.04,25.24,25.38,25.55,25.59,25.73,25.34,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,60.99,,
,,,,,1579.00,804.00,833.00,869.00,895.00,928.00,936.00,963.00,889.71,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,21.73,22.06,22.35,22.51,22.43,22.51,23.01,22.37,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,59.16,,
,,,,,3590.00,1642.00,1808.00,1912.00,1962.00,1937.00,1962.00,2124.00,1906.71,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.50,16.38,16.45,16.50,16.50,16.50,16.29,16.45,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,68.70,,
,,,,,16.34,11.95,12.18,12.35,12.62,13.04,13.47,14.07,12.81,,,,
,,,,,2840.00,1285.00,1350.00,1400.00,1481.00,1612.00,1749.00,1951.00,1546.86,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,8.23,8.45,8.63,8.87,9.24,9.59,10.33,9.05,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,62.83,,
,,,,,2900.00,1214.00,1273.00,1321.00,1388.00,1493.00,1595.00,1822.00,1443.71,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,5.12,5.22,5.39,5.60,5.89,6.28,6.89,5.77,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,62.96,,
,,,,,2800.00,1219.00,1249.00,1299.00,1362.00,1451.00,1571.00,1763.00,1416.29,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,2.75,2.77,2.83,2.95,3.14,3.34,3.61,3.06,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,87.62,,
,,,,,1179.00,840.00,846.00,865.00,899.00,942.00,986.00,1033.00,915.86,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,3.35,3.40,3.51,3.65,3.86,4.14,4.62,3.79,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,122.38,,
,,,,,420.00,337.00,343.00,357.00,375.00,402.00,441.00,514.00,395.57,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,2.90,2.92,3.02,3.14,3.34,3.56,3.80,3.24,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,100.00,,
,,,,,148.00,97.00,98.00,103.00,110.00,121.00,134.00,148.00,115.86,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,1.39,1.37,1.34,1.39,1.52,1.55,1.51,1.44,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,49.31,,
,,,,,3500.00,1459.00,1197.00,1261.00,1394.00,1248.00,1710.00,1726.00,1427.86,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,1324.00,1425.00,1480.00,1547.00,1654.00,1637.00,1764.00,1547.29,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.45,101.45,101.45,101.45,101.50,101.75,101.55,101.51,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.65,104.44,104.75,105.01,107.12,106.10,106.10,105.45,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,53.85,,
,,,,,234.00,38.00,32.00,42.00,52.00,*,126.00,126.00,69.33,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.99,68.73,68.73,68.74,69.10,70.05,70.84,69.31,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,168.00,26.00,18.00,18.00,18.00,30.00,107.00,*,36.17,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.05,101.05,101.05,101.05,101.05,102.10,102.54,101.41,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.64,122.62,122.68,123.10,122.83,123.13,123.33,122.90,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,20.08,20.04,19.57,19.28,20.16,20.96,21.46,20.22,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.49,,
,,,,,510.00,65.00,63.00,44.00,35.00,69.00,126.00,181.00,83.29,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,17.52,17.53,17.37,17.32,17.68,18.14,18.52,17.73,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,45.40,45.27,45.20,45.05,45.08,45.88,46.65,45.50,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.00,,
,,,,,980.00,271.00,263.00,259.00,251.00,253.00,300.00,343.00,277.14,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1300.00,*,*,*,*,*,*,*,,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.23,8.21,8.19,8.32,8.43,8.39,8.41,8.31,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1740.00,*,*,*,*,1.00,*,*,1.00,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,6.59,6.93,6.61,6.40,6.86,6.32,6.12,6.55,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,2.00,1.70,1.91,1.96,1.96,2.51,2.48,2.07,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,1.95,1.92,1.90,1.99,2.14,2.27,2.30,2.07,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
