
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 24 - 30 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),ศ. 24 ก.ย.,ส. 25 ก.ย.,อา. 26 ก.ย.,จ. 27 ก.ย.,อ. 28 ก.ย.,พ. 29 ก.ย.,พฤ. 30 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,37.46,37.48,37.90,37.92,38.42,38.52,37.89,37.94,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,43.88,ระดับน้ำทรงตัว,
,,,,,2990.00,1059.00,1070.00,1330.00,1329.00,1656.00,1729.00,1312.00,1355.00,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,25.73,25.85,26.21,26.60,26.82,27.00,27.07,26.47,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,79.99,ระดับน้ำทรงตัว,
,,,,,1579.00,963.00,987.00,1063.00,1150.00,1202.00,1245.00,1263.00,1124.71,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,23.01,23.14,23.56,23.78,24.03,24.41,24.41,23.76,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,74.74,ระดับน้ำทรงตัว,
,,,,,3590.00,2124.00,2172.00,2332.00,2419.00,2521.00,2683.00,2683.00,2419.14,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.29,16.50,16.42,16.61,17.00,17.00,17.00,16.69,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,97.71,ระดับน้ำทรงตัว,
,,,,,16.34,14.07,14.41,15.15,15.53,15.85,16.13,16.19,15.33,,,,
,,,,,2840.00,1951.00,2072.00,2349.00,2500.00,2631.00,2749.00,2775.00,2432.43,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,10.33,10.65,11.29,11.81,12.00,12.32,12.49,11.56,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,88.21,ระดับน้ำทรงตัว,
,,,,,2900.00,1822.00,1924.00,2135.00,2314.00,2381.00,2496.00,2558.00,2232.86,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,6.89,7.29,7.82,8.31,8.60,8.86,9.07,8.12,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,88.57,ระดับน้ำทรงตัว,
,,,,,2800.00,1763.00,1891.00,2063.00,2225.00,2332.00,2409.00,2480.00,2166.14,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,3.61,3.89,4.19,4.51,4.79,4.97,5.19,4.45,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,113.49,ระดับน้ำทรงตัว,
,,,,,1179.00,1033.00,1076.00,1078.00,1161.00,1234.00,1281.00,1338.00,1171.57,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,4.62,4.90,5.27,5.63,5.91,6.08,6.25,5.52,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,206.19,ระดับน้ำทรงตัว,
,,,,,420.00,514.00,566.00,642.00,724.00,789.00,827.00,866.00,704.00,,,,
