
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 8 - 14 กันยายน 2564,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พ. 8 ก.ย.,พฤ. 9 ก.ย.,ศ. 10 ก.ย.,ส. 11 ก.ย.,อา. 12 ก.ย.,จ. 13 ก.ย.,อ. 14 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,35.61,35.51,35.36,35.39,37.10,37.29,36.95,36.07,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,26.29,,
,,,,,2990.00,334.00,304.00,264.00,272.00,840.00,922.00,786.00,498.25,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,21.89,21.57,21.74,22.24,23.49,24.77,25.27,22.84,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,55.41,,
,,,,,1579.00,399.00,365.00,383.00,439.00,610.00,787.00,875.00,530.13,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,19.88,19.61,19.57,19.58,20.60,22.10,22.34,20.41,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,53.18,,
,,,,,3590.00,932.00,841.00,828.00,831.00,1158.00,1827.00,1909.00,1144.25,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.42,16.11,16.00,16.00,15.59,15.90,16.50,16.07,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,46.51,,
,,,,,16.34,9.60,9.60,9.00,8.95,10.28,11.64,12.08,10.16,,,,
,,,,,2840.00,751.00,751.00,622.00,611.00,850.00,1199.00,1321.00,872.14,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,5.93,5.98,5.71,5.50,6.27,7.35,8.11,6.41,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,40.76,,
,,,,,2900.00,688.00,698.00,645.00,604.00,758.00,997.00,1182.00,796.00,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,3.07,3.19,3.21,3.00,3.25,3.93,4.73,3.48,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,39.46,,
,,,,,2800.00,605.00,634.00,639.00,589.00,658.00,864.00,1105.00,727.71,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,1.69,1.73,1.80,1.73,1.77,2.08,2.40,1.89,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,62.00,,
,,,,,1179.00,472.00,486.00,511.00,486.00,501.00,632.00,731.00,545.57,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,1.93,2.08,2.10,1.96,2.06,2.48,3.03,2.23,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,70.71,,
,,,,,420.00,170.00,186.00,189.00,173.00,184.00,232.00,297.00,204.43,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,1.23,1.68,1.75,1.65,1.66,2.01,2.43,1.77,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,50.00,,
,,,,,148.00,33.00,45.00,48.00,44.00,45.00,56.00,74.00,49.29,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.89,0.80,0.87,0.82,0.81,1.01,0.89,0.87,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,35.57,,
,,,,,3500.00,959.00,998.00,965.00,2256.00,1185.00,1235.00,1245.00,1263.29,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,452.00,632.00,681.00,718.00,727.00,688.00,752.00,664.29,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.50,101.50,101.50,101.59,101.52,101.45,101.45,101.50,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.47,104.46,104.40,104.51,104.65,104.42,104.60,104.50,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,15.81,,
,,,,,234.00,33.00,33.00,28.00,34.00,38.00,31.00,37.00,33.43,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.44,68.43,68.43,68.47,68.58,68.60,68.42,68.48,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,6.55,,
,,,,,168.00,11.00,11.00,11.00,12.00,14.00,15.00,11.00,12.14,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.05,101.05,101.05,101.05,101.05,101.05,101.05,101.05,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.65,122.64,122.64,122.66,122.64,122.63,122.63,122.64,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,19.49,19.26,18.90,19.25,19.46,19.42,19.08,19.27,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,5.88,,
,,,,,510.00,41.00,34.00,26.00,34.00,40.00,39.00,30.00,34.86,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,16.97,16.65,16.36,16.48,16.39,16.70,17.12,16.67,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,43.33,43.32,43.00,42.99,43.05,43.54,44.19,43.35,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,18.37,,
,,,,,980.00,163.00,163.00,156.00,156.00,157.00,167.00,180.00,163.14,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.40,16.40,16.20,16.20,16.20,16.20,16.20,16.26,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1300.00,3.00,3.00,*,*,*,*,*,3.00,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.39,8.35,8.48,8.41,8.56,8.40,8.32,8.42,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
