
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 18 - 24 สิงหาคม 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),อ. 18 ส.ค.,พ. 19 ส.ค.,พฤ. 20 ส.ค.,ศ. 21 ส.ค.,ส. 22 ส.ค.,อา. 23 ส.ค.,จ. 24 ส.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.11,34.14,34.16,34.08,34.09,34.09,34.11,34.11,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.00,,
,,,,,2990.00,30.00,33.00,35.00,27.00,28.00,28.00,30.00,30.14,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,19.13,19.47,19.69,19.65,19.44,19.25,19.49,19.45,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,12.86,,
,,,,,1579.00,170.00,201.00,222.00,218.00,198.00,182.00,203.00,199.14,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,16.96,17.16,17.31,17.38,17.30,17.16,17.18,17.21,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,5.07,,
,,,,,3590.00,152.00,179.00,204.00,216.00,202.00,179.00,182.00,187.71,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,13.56,13.65,13.84,13.98,14.02,13.99,13.90,13.85,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.11,,
,,,,,16.34,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,,,,
,,,,,2840.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.60,1.60,1.62,1.60,1.63,1.62,1.64,1.62,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,1.02,0.87,0.85,0.90,0.90,0.92,0.88,0.91,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.74,0.68,0.30,0.33,0.62,0.61,0.61,0.56,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.27,0.27,0.18,0.21,0.27,0.23,0.27,0.24,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.33,0.26,0.18,0.23,0.30,0.29,0.31,0.27,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.64,0.61,0.55,0.57,0.37,0.32,0.26,0.47,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.63,,
,,,,,3500.00,235.00,255.00,-44.00,68.00,151.00,326.00,617.00,229.71,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,103.77,104.57,103.37,103.78,103.43,103.37,103.34,103.66,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.85,,
,,,,,234.00,4.00,36.00,2.00,4.00,2.00,2.00,2.00,7.43,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.28,68.27,68.39,68.35,68.30,68.28,68.24,68.30,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,4.17,,
,,,,,168.00,8.00,8.00,9.00,8.00,8.00,8.00,7.00,8.00,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.15,101.15,101.15,101.15,101.15,101.15,101.15,101.15,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.86,122.86,122.86,122.86,122.85,122.85,122.85,122.86,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,13.60,13.67,13.87,14.02,14.05,14.01,13.92,13.88,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,39.29,39.13,39.21,39.76,40.16,40.25,40.09,39.76,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,3.78,,
,,,,,980.00,21.00,18.00,20.00,30.00,39.00,41.00,37.00,30.63,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,17.30,16.79,16.80,17.60,17.61,17.74,17.65,17.36,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.92,,
,,,,,1300.00,17.00,7.00,7.00,24.00,24.00,28.00,25.00,18.86,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.73,8.58,8.38,8.73,8.93,8.98,8.94,8.75,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.21,,
,,,,,1740.00,***,***,***,12.00,20.00,22.00,21.00,18.75,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,6.02,6.03,5.88,5.77,6.07,6.44,6.75,6.14,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,0.70,0.65,0.64,0.73,0.79,0.78,0.79,0.73,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.79,0.76,0.64,0.67,0.59,0.56,0.57,0.65,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
