
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 28 - 3 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),ศ. 28 ส.ค.,ส. 29 ส.ค.,อา. 30 ส.ค.,จ. 31 ส.ค.,อ. 1 ก.ย.,พ. 2 ก.ย.,พฤ. 3 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.55,34.48,34.31,34.17,34.09,34.10,34.09,34.26,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.94,,
,,,,,2990.00,84.00,75.00,53.00,36.00,28.00,29.00,28.00,47.57,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,23.11,22.20,21.43,20.91,20.52,20.12,19.89,21.17,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,15.33,,
,,,,,1579.00,662.00,506.00,399.00,338.00,298.00,261.00,242.00,386.57,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,19.21,19.04,18.66,18.36,18.11,17.90,17.74,18.43,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.11,,
,,,,,3590.00,692.00,638.00,532.00,459.00,391.00,331.00,291.00,476.29,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,15.62,15.95,15.96,15.87,15.85,15.71,15.58,15.79,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.11,,
,,,,,16.34,5.38,5.45,5.46,5.38,5.38,5.38,5.38,5.40,,,,
,,,,,2840.00,60.00,65.00,66.00,60.00,60.00,60.00,60.00,61.57,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.69,1.66,1.76,1.75,1.82,1.74,1.71,1.72,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.96,1.04,1.07,1.07,1.08,1.00,0.94,1.03,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.73,0.76,0.83,0.85,0.84,0.67,0.60,0.76,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.36,0.39,0.43,0.43,0.45,0.32,0.26,0.38,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.42,0.44,0.45,0.43,0.46,0.36,0.31,0.41,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.39,0.51,0.62,0.74,0.82,0.57,0.45,0.59,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,3.69,,
,,,,,3500.00,625.00,452.00,568.00,468.00,-39.00,190.00,129.00,341.86,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,102.25,102.25,102.25,102.25,102.25,101.25,101.25,101.96,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,103.13,103.11,103.10,103.11,103.39,104.96,103.93,103.53,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.56,,
,,,,,234.00,1.00,1.00,1.00,1.00,2.00,50.00,6.00,8.86,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.15,68.12,68.11,68.11,68.11,68.14,68.79,68.22,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,12.50,,
,,,,,168.00,6.00,5.00,5.00,5.00,5.00,6.00,21.00,7.57,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.15,102.60,102.45,102.60,102.20,102.10,102.20,102.19,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.85,122.85,122.85,122.85,123.08,123.00,122.92,122.91,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,15.67,16.03,16.05,15.95,15.94,15.79,15.66,15.87,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,39.40,39.24,39.39,39.66,39.57,39.33,39.00,39.37,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.63,,
,,,,,980.00,23.00,20.00,23.00,28.00,26.00,22.00,16.00,22.57,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,17.70,17.73,17.72,17.72,17.41,17.35,17.68,17.62,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.00,,
,,,,,1300.00,27.00,27.00,27.00,27.00,19.00,18.00,26.00,24.43,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.98,8.97,8.97,8.98,8.90,8.92,9.08,8.97,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.55,,
,,,,,1740.00,22.00,22.00,22.00,22.00,19.00,20.00,27.00,22.00,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,6.81,6.98,6.75,6.46,6.34,6.55,7.14,6.72,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,0.80,0.75,0.74,0.74,0.70,0.65,0.59,0.71,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,**,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.68,0.78,0.85,0.88,0.89,0.66,0.59,0.76,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
