
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 10 - 16 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 10 ก.ย.,ศ. 11 ก.ย.,ส. 12 ก.ย.,อา. 13 ก.ย.,จ. 14 ก.ย.,อ. 15 ก.ย.,พ. 16 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.20,34.14,34.12,34.15,34.16,34.22,34.22,34.17,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.40,ระดับน้ำทรงตัว,
,,,,,2990.00,39.00,33.00,31.00,34.00,35.00,42.00,42.00,36.57,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,20.19,20.28,20.29,20.35,20.37,20.46,20.22,20.31,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.10,ระดับน้ำทรงตัว,
,,,,,1579.00,267.00,275.00,276.00,282.00,284.00,292.00,270.00,278.00,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.81,17.79,17.81,17.81,17.81,17.85,17.77,17.81,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.30,ระดับน้ำทรงตัว,
,,,,,3590.00,308.00,303.00,308.00,308.00,308.00,318.00,298.00,307.29,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,15.61,15.50,15.42,15.36,15.34,15.32,15.31,15.41,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.76,ระดับน้ำทรงตัว,
,,,,,16.34,5.25,5.25,5.25,5.25,5.25,5.25,5.25,5.25,,,,
,,,,,2840.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.78,1.75,1.81,1.79,1.77,1.75,1.67,1.76,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.98,1.07,1.10,1.09,0.97,1.02,1.01,1.03,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.61,0.46,0.55,0.50,0.46,0.76,0.42,0.54,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.31,0.43,0.54,0.45,0.38,0.36,0.32,0.40,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.34,0.48,0.57,0.49,0.41,0.38,0.33,0.43,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.20,0.48,0.49,0.50,0.58,0.62,0.63,0.50,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,3.57,ระดับน้ำทรงตัว,
,,,,,3500.00,895.00,750.00,838.00,625.00,623.00,731.00,125.00,655.29,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.30,105.07,104.48,104.20,103.95,103.85,103.75,104.23,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.71,ระดับน้ำทรงตัว,
,,,,,234.00,19.00,54.00,33.00,13.00,6.00,5.00,4.00,19.14,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.63,68.51,68.73,68.74,68.56,68.35,68.30,68.55,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,4.76,ระดับน้ำทรงตัว,
,,,,,168.00,14.00,10.00,18.00,18.00,12.00,8.00,8.00,12.57,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.95,101.95,102.50,102.50,102.50,101.95,101.45,102.11,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.86,122.86,122.86,122.86,122.85,122.85,122.85,122.86,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,15.68,15.57,15.49,15.43,15.40,15.39,15.38,15.48,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,ระดับน้ำทรงตัว,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
