
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 4 - 10 กันยายน 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),ศ. 4 ก.ย.,ส. 5 ก.ย.,อา. 6 ก.ย.,จ. 7 ก.ย.,อ. 8 ก.ย.,พ. 9 ก.ย.,พฤ. 10 ก.ย.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,34.11,34.19,34.23,34.25,34.24,34.21,34.20,34.19,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.30,,
,,,,,2990.00,30.00,38.00,43.00,46.00,44.00,40.00,39.00,40.00,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,20.14,20.63,20.68,20.63,20.48,20.26,20.19,20.39,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,16.91,,
,,,,,1579.00,263.00,309.00,314.00,309.00,294.00,274.00,267.00,290.00,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,17.74,17.98,18.06,18.08,18.06,17.90,17.81,17.92,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.58,,
,,,,,3590.00,291.00,353.00,376.00,382.00,376.00,331.00,308.00,345.29,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,15.48,15.47,15.56,15.66,15.70,15.68,15.61,15.59,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.76,,
,,,,,16.34,5.38,5.38,5.38,5.38,5.38,5.31,5.25,5.35,,,,
,,,,,2840.00,60.00,60.00,60.00,60.00,60.00,55.00,50.00,57.86,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,1.71,1.78,1.77,1.77,1.77,1.82,1.78,1.76,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2900.00,**,**,**,**,**,**,**,,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,0.95,1.01,1.05,1.04,1.02,1.09,0.98,1.01,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,2800.00,**,**,**,**,**,**,**,,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,0.60,0.63,0.67,0.64,0.64,0.70,0.61,0.64,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.29,0.32,0.36,0.35,0.34,0.39,0.31,0.33,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.30,0.34,0.37,0.36,0.38,0.42,0.34,0.35,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.17,0.32,0.35,0.22,0.32,0.29,0.20,0.27,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,25.57,,
,,,,,3500.00,224.00,627.00,377.00,685.00,726.00,792.00,895.00,618.00,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,103.56,103.38,103.96,103.58,103.77,105.51,104.30,103.95,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.12,,
,,,,,234.00,3.00,2.00,7.00,3.00,4.00,78.00,19.00,16.57,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.58,68.37,68.23,68.25,68.36,68.30,68.63,68.41,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,8.33,,
,,,,,168.00,12.00,9.00,7.00,7.00,9.00,8.00,14.00,9.43,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,102.50,102.50,102.50,102.50,101.95,101.95,101.95,102.29,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,122.89,122.87,122.87,122.87,122.86,122.86,122.86,122.87,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,15.60,15.56,15.64,15.73,15.78,15.76,15.68,15.67,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,38.79,38.62,38.45,38.42,38.42,38.95,39.34,38.72,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,2.24,,
,,,,,980.00,14.00,12.00,10.00,10.00,10.00,16.00,22.00,13.43,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,17.63,17.35,17.35,17.35,17.35,17.24,17.24,17.39,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,1.23,,
,,,,,1300.00,18.00,18.00,18.00,18.00,18.00,16.00,16.00,17.43,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,9.02,8.90,8.89,8.83,8.94,8.91,8.86,8.92,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.98,,
,,,,,1740.00,24.00,19.00,19.00,16.00,21.00,20.00,17.00,19.43,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,7.33,7.35,7.31,7.25,7.33,7.50,7.61,7.38,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,0.70,0.72,0.76,0.78,0.74,0.81,0.74,0.74,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.55,0.57,0.61,0.55,0.57,0.62,0.53,0.57,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
