
,,,,,,,รายงานสภาพน้ำท่า ภาคกลาง(ชัยนาท),
,,,,ศูนย์อุทกวิทยาชลประทานภาคกลาง(ชัยนาท) สำนักบริหารจัดการน้ำและอุทกวิทยา กรมชลประทาน,
,,,,,,,วันที่ 1 - 7 ตุลาคม 2563,

,,,,,,,,สภาพน้ำท่า(วันที่) เวลา 6.00 น.,

ลำดับ,สถานี,ลุ่มน้ำ,อำเภอ,จังหวัด,ระดับตลิ่ง(ม.) | ความจุลำน้ำ(ลบ.ม./วินาที),พฤ. 1 ต.ค.,ศ. 2 ต.ค.,ส. 3 ต.ค.,อา. 4 ต.ค.,จ. 5 ต.ค.,อ. 6 ต.ค.,พ. 7 ต.ค.,เฉลี่ย,กราฟ,ร้อยละของความจุ,แนวโน้ม,
1,P.17,ปิง,บรรพตพิสัย,นครสวรรค์,39.80,35.05,35.61,35.45,35.27,35.00,35.11,35.77,35.32,<a id="btn_347" class="btn btn-primary btn-sm showGraph">กราฟ</a>,17.89,,
,,,,,2990.00,217.00,454.00,372.00,293.00,200.00,238.00,535.00,329.86,,,,
2,N.67,น่าน,ชุมแสง,นครสวรรค์,28.30,21.55,21.91,22.32,22.60,22.80,22.91,23.13,22.46,<a id="btn_345" class="btn btn-primary btn-sm showGraph">กราฟ</a>,42.12,,
,,,,,1579.00,414.00,463.00,524.00,570.00,605.00,625.00,665.00,552.29,,,,
3,C.2,เจ้าพระยา,เมืองนครสวรรค์,นครสวรรค์,26.20,19.06,19.53,19.93,19.87,19.80,19.77,20.24,19.74,<a id="btn_315" class="btn btn-primary btn-sm showGraph">กราฟ</a>,28.94,,
,,,,,3590.00,645.00,803.00,929.00,909.00,886.00,877.00,1039.00,869.71,,,,
4,C.13,เจ้าพระยา,สรรพยา,ชัยนาท,ระดับเหนือเขื่อน-ม.,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,<a id="btn_319" class="btn btn-primary btn-sm showGraph">กราฟ</a>,22.82,,
,,,,,16.34,6.86,7.33,8.64,8.98,9.04,8.95,9.48,8.47,,,,
,,,,,2840.00,212.00,278.00,489.00,550.00,561.00,545.00,648.00,469.00,,,,
5,C.3,เจ้าพระยา,เมืองสิงห์บุรี,สิงห์บุรี,13.40,3.49,3.60,4.41,5.17,5.33,5.36,5.68,4.72,<a id="btn_316" class="btn btn-primary btn-sm showGraph">กราฟ</a>,19.97,,
,,,,,2900.00,253.00,267.00,374.00,489.00,518.00,523.00,579.00,429.00,,,,
6,C.7A,เจ้าพระยา,เมืองอ่างทอง,อ่างทอง,10.00,1.71,1.67,1.99,2.61,2.86,2.76,3.00,2.37,<a id="btn_318" class="btn btn-primary btn-sm showGraph">กราฟ</a>,21.11,,
,,,,,2800.00,**,292.00,357.00,500.00,560.00,536.00,591.00,472.67,,,,
7,C.35,เจ้าพระยา,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.58,1.03,1.01,1.13,1.48,1.62,1.62,1.60,1.36,<a id="btn_325" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1179.00,**,**,**,**,**,**,**,,,,,
8,C.36,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,4.00,0.96,0.94,1.16,1.61,1.82,1.85,1.89,1.46,<a id="btn_326" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,420.00,**,**,**,**,**,**,**,,,,,
9,C.37,เจ้าพระยา,บางบาล,พระนครศรีอยุธยา,3.80,0.55,0.54,0.64,0.80,0.88,0.86,0.83,0.73,<a id="btn_327" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,148.00,**,**,**,**,**,**,**,,,,,
10,C.29A,เจ้าพระยา,บางไทร,พระนครศรีอยุธยา,3.40,0.67,0.60,0.59,0.75,0.75,0.64,0.64,0.66,<a id="btn_323" class="btn btn-primary btn-sm showGraph">กราฟ</a>,37.49,,
,,,,,3500.00,220.00,764.00,413.00,552.00,571.00,1197.00,1312.00,718.43,,,,
,,,,,ปริมาณน้ำเฉลี่ยรายวัน-ลบ.ม./วิ,117.00,164.00,179.00,184.00,188.00,176.00,237.00,177.86,,,,
11,C.30,เจ้าพระยา,ห้วยคต,อุทัยธานี,108.30,101.25,101.25,101.25,101.25,101.25,101.25,101.25,101.25,<a id="btn_324" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,830.00,*,*,*,*,*,*,*,,,,,
12,Ct.5A,สะแกกรัง,ขาณุวรลักษบุรี,กำแพงเพชร,106.86,104.37,104.17,104.59,104.46,105.53,105.07,104.57,104.68,<a id="btn_339" class="btn btn-primary btn-sm showGraph">กราฟ</a>,15.38,,
,,,,,234.00,25.00,11.00,37.00,33.00,79.00,54.00,36.00,39.29,,,,
13,Ct.4,สะแกกรัง,ลาดยาว,นครสวรรค์,71.00,68.79,68.72,68.60,68.73,68.67,69.04,68.94,68.78,<a id="btn_338" class="btn btn-primary btn-sm showGraph">กราฟ</a>,19.05,,
,,,,,168.00,21.00,17.00,13.00,18.00,15.00,42.00,32.00,22.57,,,,
14,Ct.7,สะแกกรัง,แม่เปิน,นครสวรรค์,104.88,101.15,101.15,101.15,101.15,101.15,101.15,101.15,101.15,<a id="btn_340" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,170.00,*,*,*,*,*,*,*,,,,,
15,Ct.9,สะแกกรัง,ลานสัก,อุทัยธานี,127.47,123.00,122.95,122.92,122.92,122.93,122.97,122.93,122.95,<a id="btn_342" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,280.00,*,*,*,*,*,*,*,,,,,
16,Ct.19,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,24.35,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,<a id="btn_343" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,510.00,*,*,*,*,*,*,*,,,,,
17,Ct.2A,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,21.34,16.61,16.62,16.64,16.66,16.68,16.79,16.90,16.70,<a id="btn_337" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,616.00,*,*,*,*,*,*,*,,,,,
18,S.43,ป่าสัก,ชัยบาดาล,ลพบุรี,51.90,42.14,41.78,41.72,42.13,42.24,42.26,42.38,42.09,<a id="btn_357" class="btn btn-primary btn-sm showGraph">กราฟ</a>,11.22,,
,,,,,980.00,100.00,87.00,85.00,100.00,104.00,105.00,110.00,98.71,,,,
19,S.28,ป่าสัก,พัฒนานิคม,ลพบุรี,31.46,16.37,16.37,16.37,16.37,16.37,16.37,16.37,16.37,<a id="btn_354" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1300.00,*,*,*,*,*,*,*,,,,,
20,S.9,ป่าสัก,แก่งคอย,สระบุรี,22.56,8.41,8.31,8.27,8.25,8.29,8.49,8.49,8.36,<a id="btn_351" class="btn btn-primary btn-sm showGraph">กราฟ</a>,0.17,,
,,,,,1740.00,***,***,***,*,*,3.00,3.00,3.00,,,,
21,S.32,ป่าสัก,เมืองสระบุรี,สระบุรี,12.80,7.18,7.35,7.53,7.15,6.75,6.78,7.30,7.15,<a id="btn_313" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1555.00,***,***,***,***,***,***,***,,,,,
22,S.26,ป่าสัก,ท่าเรือ,พระนครศรีอยุธยา,8.00,1.13,0.95,1.02,1.83,1.89,1.77,1.48,1.44,<a id="btn_353" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,800.00,***,***,***,***,***,***,***,,,,,
23,S.5,ป่าสัก,พระนครศรีอยุธยา,พระนครศรีอยุธยา,4.70,0.84,0.81,0.85,1.15,1.18,1.16,1.08,1.01,<a id="btn_349" class="btn btn-primary btn-sm showGraph">กราฟ</a>,,,
,,,,,1400.00,**,**,**,**,**,**,**,,,,,
